bug_id,severity,layer,file,line_range,title,description,observable_symptom,affected_metrics,fix_sketch,confirmed_by_evidence
BUG-001,CRITICAL,trigger,push_surfacing.py,260-261,T3 crossover uses _DIGEST_MAX instead of _AGING_MAX,"_check_t3 computes digest_crossover_min = _DIGEST_MAX * HL (2.5×HL). For T3 to fire while STATE_AGING, age_min must simultaneously be < 1.75×HL (aging condition) AND >= 2.5×HL - lookahead. For lookahead=10 and any HL >= 13.3min this is impossible. All system tiers have HL >= 20min.",T3 events = 0 in all simulation runs,"t3_events, missed_critical_count (secondary)","Change: digest_crossover_min = _AGING_MAX * c.half_life_min  # 1.75 × HL",Run 028 trigger_threshold_analysis.md shows T3=0 for all three configs across 20 seeds
BUG-002,HIGH,reporting,run_028_push_surfacing.py,360-362,avg_surfaced_after is pre-collapse for push but post-collapse for poll in CSV,"push_vs_poll_comparison.csv writes avg_fresh_at_trigger + avg_active_at_trigger for push rows (full deck count ~23.87). Poll rows come from simulate_batch_refresh which returns post-collapse avg_surfaced_after (~4.85). Same column name; different semantics.","push burden appears 5× higher than poll in raw CSV; conclusion looks reversed","operator_burden_csv, any analysis reading push_vs_poll_comparison.csv directly","Add separate pre_collapse_items and post_collapse_items columns; apply COLLAPSE_FACTOR=0.24 before writing push rows","operator_burden_comparison.md burden=440.5 for push vs 155.2 for poll — push appears worse, contradicting the recommendation"
BUG-003,HIGH,archive,delivery_state.py,1183-1184 + 1211,Re-surfaced cards not added to all_cards master list,"check_resurface() returns new cards appended to deck via deck.extend(resurfaced). But all_cards (the master timeline) is never updated. At the next iteration deck is rebuilt from all_cards, so re-surfaced cards vanish after exactly one review cycle.",total_resurfaced count is correct but the cards do not persist to subsequent reviews,"total_resurfaced, any analysis of re-surface persistence","After deck.extend(resurfaced), also append each resurfaced card to all_cards with creation_time = current time: all_cards.extend([(float(t), c) for c in resurfaced])","archive_policy_spec.md promise: re-surfaced cards cloned as fresh; lifecycle not verified in simulation"
BUG-004,HIGH,metrics,half_life_calibrator.py,257-258,Recall denominator is all_records instead of all_hits,"recall = caught / len(records). len(records) = total cards including EXPIRED ones (never hit). True recall = caught / n_hits. Comparing precision (caught / non_expired) against recall (caught / all_cards) is meaningless; recall is systematically underestimated by the fraction of expired cards.",Recall values appear ~2× lower than actual for tiers with ~50% hit rates,"recall in HL calibration scenario comparison, HL recommendation verdicts","Change denominator to n_hits: n_hits = sum(1 for r in records if r['outcome_result'] in (OUTCOME_HIT, OUTCOME_PARTIAL)); recall = caught / max(n_hits, 1)",Recall of 0.0 for HL < calibrated value would be suspicious — not yet cross-checked against run artifacts
BUG-005,HIGH,suppression,push_surfacing.py,289-290,S2 suppresses T3-triggered pushes when no fresh/active cards exist,"_check_suppress_s2 returns True immediately when fresh_active is empty. If T3 fires (aging card about to expire) but no fresh/active cards are present, S2 overrides the T3 trigger. The aging card — which was the entire reason for T3 — is silently suppressed.","T3 pushes for aging-only decks are suppressed; operator misses last-chance aging cards","t3_events (secondary — currently zero due to BUG-001), missed_critical_count","Before returning True, check if triggers includes 'T3': if 'T3' in (triggers passed in or evaluated upstream) then return False. Better: pass triggers into _check_suppress_s2 and exempt T3 events from S2.","Latent until BUG-001 is fixed; will manifest immediately after T3 crossover is corrected"
BUG-006,MEDIUM,metrics,delivery_state.py,583-585,STATE_AGING counted in stale_states despite being in _SURFACED_STATES,"stale_states = {STATE_AGING, STATE_DIGEST_ONLY, STATE_EXPIRED}. But _SURFACED_STATES = frozenset([STATE_FRESH, STATE_ACTIVE, STATE_AGING]). Aging cards ARE shown to operator at full detail (last-chance review), yet they inflate stale_rate. This makes stale_rate a blend of 'degraded' and 'at risk'.","stale_rate is inflated by ~10-30% depending on HL distribution; 45min stale=0.21 includes aging cards","stale_rate, all stale_rate comparisons across runs 026-028","Either remove STATE_AGING from stale_states (redefine stale as cards NOT shown in full review), or add a separate 'at_risk_rate' for aging cards. Document the choice explicitly.","_SURFACED_STATES vs stale_states overlap is visible in code; no artifact directly contradicts this but cadence conclusions may be directionally affected"
BUG-007,MEDIUM,reporting,half_life_calibrator.py,131,expiry_before_hit and decayed_but_late_hit are unconditionally aliased,"decayed_but_late_hit = expiry_before_hit with comment 'same concept in this dataset'. These are semantically distinct: expiry_before_hit = hits where TTE > current_HL (would be missed); decayed_but_late_hit = hits that arrived after decay started. The alias hides whether they are actually the same.",HL calibration reports conflate two distinct failure modes,"HL recommendation accuracy, false_expiry_rate","Compute each independently. expiry_before_hit: TTE > current_HL. decayed_but_late_hit: TTE > active_window (time card is in fresh+active states).","Code comment explicitly acknowledges the alias: 'same concept in this dataset' — context-dependent correctness"
BUG-008,MEDIUM,metrics,uplift_ranker.py,177-178 + 185,rank_delta sign is inverted relative to 'demoted' semantics,"rank_delta = raw_rank - uplift_aware_rank. If raw_rank=5 and uplift_aware_rank=2, delta=3 (positive) but the card IMPROVED (moved up, lower rank number = better). The code then sorts 'demoted' cards by rank_delta ascending, which lists the most-improved cards first — opposite of intent.","Demotion report lists improved cards; promotion report may list demoted cards","demoted/rescued counts in uplift_ranker summary","Invert: rank_delta = uplift_aware_rank - raw_rank, so negative = improvement (rescued), positive = demotion. Or swap sort order for demotion list.","Run artifacts from uplift_ranker not directly cited in top-level conclusions; medium risk"
BUG-009,LOW,metrics,metrics.py,303,symmetric_difference / 2 for top-k change count assumes equal-size sets,"n_top_k_changed = len(sym_diff) // 2. This is correct only if |top_k| is fixed and exactly one card exits for each that enters. If top_k sizes differ between raw and normalized ranking (e.g., tie-breaks), sym_diff length can be odd, and // 2 underestimates changes by 0.5.","n_top_k_changed is off by 0 or 1 in edge cases","n_top_k_changed in normalized ranking summary","Use len(raw_top_k_ids - ua_top_k_ids) (cards that exited) as the canonical count; this is always unambiguous.","Low risk; metric is diagnostic-only"
BUG-010,LOW,simulation,delivery_state.py,984-985 vs 537,Prune threshold inconsistency between batch_refresh and push_surfacing,"simulate_batch_refresh prunes cards at 3.0×HL; simulate_push_surfacing prunes at 5.0×HL (_ARCHIVE_RATIO). The archive threshold is 5.0×HL. Cards in the 3.0–5.0×HL range would be pruned before archive in batch_refresh but survive in push_surfacing. These functions are used for different runs so impact is contained.","Archive metrics would differ between the two simulation paths if archive were added to batch_refresh","avg_archived, any archive comparison between simulation modes","Unify prune threshold to archive_max_age_min (480 min) in both functions, as done in simulate_batch_refresh_with_archive.","Contained risk: batch_refresh does not use archives; batch_refresh_with_archive uses 480min already"
BUG-011,LOW,semantics,persistence_tracker.py,37 + 157,EMA alpha naming convention is reversed from industry standard,"_EMA_ALPHA = 0.40 is applied as: ema = 0.40 * new_value + 0.60 * prev_ema. In most EMA implementations, higher alpha = more weight on recent value. Here alpha=0.40 means 40% weight on new — typical naming would use alpha for the decay factor not the new-value weight.","EMA smoothing behaves correctly but naming may confuse future maintainers; no functional impact","persistence_score (EMA)","Rename _EMA_ALPHA to _EMA_SMOOTHING_FACTOR and update comment: 'fraction of weight on new observation'.","Naming-only; no functional impact"
